Folder Path,Number of Files Analyzed
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_37/Signed slides/Blast, no lineage spec",97
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_17/Signed slides/Blast, no lineage spec",94
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_04/Signed slides/Blast, no lineage spec",94
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_69/10026924218/Signed slides/Promyelocyte,94
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_21/Signed slides/Segmented neutrophils,92
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_51/Signed slides/Blast, no lineage spec",91
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_77/Signed slides/Segmented neutrophils,90
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_70/Signed slides/Blast, no lineage spec",89
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_81/10026273526/Signed slides/Lymphocyte,89
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_22/Signed slides/Lymphocyte,88
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_49/Unsigned slides,88
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_92/Signed slides/Blast, no lineage spec",87
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_64/Signed slides/Blast, no lineage spec",86
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_47/Signed slides/Blast, no lineage spec",85
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_32/10026417885/Signed slides/Blast, no lineage spec",81
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_34/Signed slides/Blast, no lineage spec",79
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_13/Signed slides/Lymphocyte,77
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_74/Signed slides/Blast, no lineage spec",77
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_95/Signed slides/Smudge cells,76
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_80/10026231691/Signed slides/Blast, no lineage spec",76
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_00/Unsigned slides,75
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_54/Signed slides/Blast, no lineage spec",74
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_95/Signed slides/Promyelocyte,73
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_11/Signed slides/Lymphocyte,72
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Segmented neutrophils,72
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_40/Signed slides/Segmented neutrophils,71
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_102/Signed slides/Blast, no lineage spec",71
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_68/Signed slides/Lymphocyte,70
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_65/Signed slides/Lymphocyte,68
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_15/Signed slides/Smudge cells,68
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_36/Signed slides/Smudge cells,67
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_94/Signed slides/Segmented neutrophils,67
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_42/Signed slides/Lymphocyte,67
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_38/Signed slides/Monocyte,67
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_62/Signed slides/Lymphocyte,66
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_24/Signed slides/Blast, no lineage spec",66
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_67/Signed slides/Blast, no lineage spec",66
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_86/Signed slides/Segmented neutrophils,65
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_85/Signed slides/Blast, no lineage spec",65
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_23/Signed slides/Lymphocyte,64
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_43/Signed slides/Blast, no lineage spec",64
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_48/Signed slides/Segmented neutrophils,64
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_29/Signed slides/Segmented neutrophils,63
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_53/Signed slides/Lymphocyte,63
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_41/Signed slides/Lymphocyte,62
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_58/Signed slides/Monocyte,62
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_30/Signed slides/Blast, no lineage spec",62
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_49/Signed slides/Lymphocyte,62
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_88/Signed slides/Lymphocyte, variant",61
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_76/Signed slides/Blast, no lineage spec",61
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_96/Signed slides/Lymphocyte,60
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_79/10025562151/Unsigned slides,60
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_45/Signed slides/Blast, no lineage spec",60
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_55/Signed slides/Segmented neutrophils,60
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_66/Signed slides/Monocyte,59
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_78/Signed slides/Segmented neutrophils,58
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Monocyte,58
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_50/Signed slides/Lymphocyte,58
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_39/10025983082/Signed slides/Blast, no lineage spec",58
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_95/Signed slides/Monocyte,58
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_63/Signed slides/Lymphocyte,57
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_72/Signed slides/Lymphocyte,56
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_25/Signed slides/Smudge cells,55
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_14/Signed slides/Lymphocyte,55
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_07/Signed slides/Monocyte,54
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_46/Signed slides/Blast, no lineage spec",54
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_02/Signed slides/Monocyte,54
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_90/Signed slides/Monocyte,53
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_83/Signed slides/Segmented neutrophils,53
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_08/Signed slides/Smudge cells,52
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_36/Signed slides/Monocyte,52
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_52/Signed slides/Lymphocyte,51
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_10/Signed slides/Blast, no lineage spec",50
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_33/Signed slides/Lymphocyte,50
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_93/Signed slides/Segmented neutrophils,50
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_66/Signed slides/Smudge cells,49
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_01/Signed slides/Segmented neutrophils,48
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_98/Signed slides/Blast, no lineage spec",48
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_26/Signed slides/Blast, no lineage spec",47
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_104/Signed slides/Lymphocyte,47
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_09/Signed slides/Monocyte,47
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_20/Signed slides/Lymphocyte,46
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_99/Signed slides/Lymphocyte,46
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_28/Signed slides/Blast, no lineage spec",46
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_47/Signed slides/Smudge cells,46
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_71/Signed slides/Segmented neutrophils,46
/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_72/Signed slides/Segmented neutrophils,45
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_101/Signed slides/Lymphocyte, variant",44
"/content/drive/My Drive/Kaggle/DataScientest_Blood_Cells_project/Kaggle_Peripheral_Blood_Smears_from_APL_vs_non_APL/All/Patient_27/Signed slides/Blast, no lineage spec",44
